Date,Close_Date,Adjusted_Close_Price,Volume
2025-10-20,2025-10-24,1562.5,1364922
2025-10-13,2025-10-17,1587.0,1308849
2025-10-06,2025-10-10,1621.0,1464035
2025-09-29,2025-10-03,1588.0,3197944
2025-09-22,2025-09-26,1392.0,1298961
2025-09-15,2025-09-19,1439.5,1423767
2025-09-08,2025-09-12,1494.0,812056
2025-09-01,2025-09-05,1533.0,1073360
2025-08-25,2025-08-29,1513.0,1419223
2025-08-18,2025-08-22,1542.5,1359467
2025-08-11,2025-08-15,1505.0,1679490
2025-08-04,2025-08-08,1404.74,1201703
2025-07-28,2025-08-01,1425.73,2813291
2025-07-21,2025-07-25,1384.75,1363470
2025-07-14,2025-07-18,1341.78,1115427
2025-07-07,2025-07-11,1348.77,1182334
2025-06-30,2025-07-04,1355.77,1717127
2025-06-23,2025-06-27,1331.28,1355669
2025-06-16,2025-06-20,1372.76,949010
2025-06-09,2025-06-13,1419.24,1821755
2025-06-02,2025-06-06,1392.25,1259706
2025-05-26,2025-05-30,1374.76,1156943
2025-05-19,2025-05-23,1343.78,1776026
2025-05-12,2025-05-16,1345.78,2943806
2025-05-05,2025-05-09,1322.29,1866069
2025-04-28,2025-05-02,1378.26,1678723
2025-04-21,2025-04-25,1344.28,1214711
2025-04-14,2025-04-18,1301.3,1257250
2025-04-07,2025-04-11,1284.31,3881726
2025-03-31,2025-04-04,1402.24,2446105
2025-03-24,2025-03-28,1479.2,1441896
2025-03-17,2025-03-21,1524.18,1389726
2025-03-10,2025-03-14,1572.65,1619024
2025-03-03,2025-03-07,1571.15,1818203
2025-02-24,2025-02-28,1621.13,1596292
2025-02-17,2025-02-21,1576.98,1462609
2025-02-10,2025-02-14,1580.97,1250721
2025-02-03,2025-02-07,1573.98,1909136
2025-01-27,2025-01-31,1563.5,1116773
2025-01-20,2025-01-24,1509.09,1265010
2025-01-13,2025-01-17,1489.62,1805035
2025-01-06,2025-01-10,1505.59,1192433
2024-12-30,2025-01-03,1472.65,524194
2024-12-23,2024-12-27,1456.67,429285
2024-12-16,2024-12-20,1430.71,1394829
2024-12-09,2024-12-13,1456.17,1224066
2024-12-02,2024-12-06,1484.13,1713073
2024-11-25,2024-11-29,1468.65,1657283
2024-11-18,2024-11-22,1459.67,1937821
2024-11-11,2024-11-15,1390.28,3090576
2024-11-04,2024-11-08,1395.27,3641378
2024-10-28,2024-11-01,1523.56,1238529
2024-10-21,2024-10-25,1591.95,971708
2024-10-14,2024-10-18,1635.39,935085
2024-10-07,2024-10-11,1593.45,708303
2024-09-30,2024-10-04,1595.95,1208015
2024-09-23,2024-09-27,1572.49,1066894
2024-09-16,2024-09-20,1598.44,1122413
2024-09-09,2024-09-13,1597.45,1714473
2024-09-02,2024-09-06,1703.78,895620
2024-08-26,2024-08-30,1780.65,656250
2024-08-19,2024-08-23,1755.19,860289
2024-08-12,2024-08-16,1770.67,1256474
2024-08-05,2024-08-09,1705.49,1151440
2024-07-29,2024-08-02,1709.48,1238852
2024-07-22,2024-07-26,1694.01,981769
2024-07-15,2024-07-19,1668.56,526860
2024-07-08,2024-07-12,1672.55,652383
2024-07-01,2024-07-05,1613.68,763563
2024-06-24,2024-06-28,1657.59,782694
2024-06-17,2024-06-21,1640.62,736386
2024-06-10,2024-06-14,1672.06,1351594
2024-06-03,2024-06-07,1687.02,941828
2024-05-27,2024-05-31,1639.62,1301442
2024-05-20,2024-05-24,1669.06,1177647
2024-05-13,2024-05-17,1640.12,926148
2024-05-06,2024-05-10,1676.05,733722
2024-04-29,2024-05-03,1630.64,985977
2024-04-22,2024-04-26,1642.62,2106406
2024-04-15,2024-04-19,1491.43,1244997
2024-04-08,2024-04-12,1504.9,1373163
2024-04-01,2024-04-05,1429.06,1071122
2024-03-25,2024-03-29,1449.51,946167
2024-03-18,2024-03-22,1401.61,1102611
2024-03-11,2024-03-15,1367.68,1698144
2024-03-04,2024-03-08,1347.22,1583878
2024-02-26,2024-03-01,1327.76,1302255
2024-02-19,2024-02-23,1349.64,1957543
2024-02-12,2024-02-16,1335.68,2291007
2024-02-05,2024-02-09,1301.79,3107553
2024-01-29,2024-02-02,1375.56,1009601
2024-01-22,2024-01-26,1399.48,2160477
