Date,Close_Date,Adjusted_Close_Price,Volume
2025-10-20,2025-10-24,263.2,2605572
2025-10-13,2025-10-17,287.0,1030603
2025-10-06,2025-10-10,284.7,932853
2025-09-29,2025-10-03,282.4,1244067
2025-09-22,2025-09-26,290.9,1040869
2025-09-15,2025-09-19,290.13,1237675
2025-09-08,2025-09-12,299.79,1139456
2025-09-01,2025-09-05,301.08,972312
2025-08-25,2025-08-29,294.27,1923901
2025-08-18,2025-08-22,303.05,1243394
2025-08-11,2025-08-15,299.2,878090
2025-08-04,2025-08-08,294.18,760278
2025-07-28,2025-08-01,288.95,620156
2025-07-21,2025-07-25,291.51,904518
2025-07-14,2025-07-18,282.74,1094392
2025-07-07,2025-07-11,279.19,1337910
2025-06-30,2025-07-04,287.47,963379
2025-06-23,2025-06-27,274.26,1300890
2025-06-16,2025-06-20,267.95,1143468
2025-06-09,2025-06-13,271.9,1247339
2025-06-02,2025-06-06,271.3,955445
2025-05-26,2025-05-30,275.84,992872
2025-05-19,2025-05-23,272.39,999521
2025-05-12,2025-05-16,268.15,1712093
2025-05-05,2025-05-09,266.08,1003406
2025-04-28,2025-05-02,264.8,1168484
2025-04-21,2025-04-25,261.05,2174528
2025-04-14,2025-04-18,243.6,1114032
2025-04-07,2025-04-11,234.43,2728326
2025-03-31,2025-04-04,229.9,2455332
2025-03-24,2025-03-28,223.29,1562320
2025-03-17,2025-03-21,215.39,2591972
2025-03-10,2025-03-14,229.12,1989262
2025-03-03,2025-03-07,230.28,3123503
2025-02-24,2025-02-28,220.52,1752193
2025-02-17,2025-02-21,219.45,1717597
2025-02-10,2025-02-14,228.15,1331211
2025-02-03,2025-02-07,227.67,1919250
2025-01-27,2025-01-31,230.09,2890574
2025-01-20,2025-01-24,226.9,1283376
2025-01-13,2025-01-17,226.32,1804565
2025-01-06,2025-01-10,222.55,970046
2024-12-30,2025-01-03,228.35,615647
2024-12-23,2024-12-27,226.61,376437
2024-12-16,2024-12-20,224.48,2169262
2024-12-09,2024-12-13,225.06,1333069
2024-12-02,2024-12-06,229.02,1314184
2024-11-25,2024-11-29,225.93,1269975
2024-11-18,2024-11-22,227.09,1167780
2024-11-11,2024-11-15,230.28,1634332
2024-11-04,2024-11-08,230.76,2548981
2024-10-28,2024-11-01,227.19,2640902
2024-10-21,2024-10-25,228.73,3687322
2024-10-14,2024-10-18,267.89,859633
2024-10-07,2024-10-11,272.91,610834
2024-09-30,2024-10-04,272.24,803610
2024-09-23,2024-09-27,275.52,1324652
2024-09-16,2024-09-20,263.84,1100135
2024-09-09,2024-09-13,267.65,832794
2024-09-02,2024-09-06,263.75,802313
2024-08-26,2024-08-30,260.51,937440
2024-08-19,2024-08-23,258.23,670617
2024-08-12,2024-08-16,263.27,1051357
2024-08-05,2024-08-09,253.66,757056
2024-07-29,2024-08-02,251.75,854882
2024-07-22,2024-07-26,250.99,1005413
2024-07-15,2024-07-19,252.8,1780089
2024-07-08,2024-07-12,249.28,2454340
2024-07-01,2024-07-05,267.37,851417
2024-06-24,2024-06-28,265.08,1215648
2024-06-17,2024-06-21,264.03,1057204
2024-06-10,2024-06-14,262.13,1364830
2024-06-03,2024-06-07,256.42,1016686
2024-05-27,2024-05-31,265.37,1119375
2024-05-20,2024-05-24,270.03,974716
2024-05-13,2024-05-17,273.18,1107488
2024-05-06,2024-05-10,281.36,728552
2024-04-29,2024-05-03,273.56,673721
2024-04-22,2024-04-26,267.84,1288604
2024-04-15,2024-04-19,275.75,1213438
2024-04-08,2024-04-12,283.17,1091787
2024-04-01,2024-04-05,290.6,1047143
2024-03-25,2024-03-29,296.31,736785
2024-03-18,2024-03-22,283.67,779145
2024-03-11,2024-03-15,280.01,1106584
2024-03-04,2024-03-08,275.88,1028776
2024-02-26,2024-03-01,272.22,1002471
2024-02-19,2024-02-23,266.68,848062
2024-02-12,2024-02-16,263.49,1173140
2024-02-05,2024-02-09,266.12,1419096
2024-01-29,2024-02-02,271.19,2008204
2024-01-22,2024-01-26,244.43,740096
2024-01-15,2024-01-19,244.81,728380
2024-01-08,2024-01-12,250.44,1246324
2024-01-01,2024-01-05,260.02,768773
2023-12-25,2023-12-29,256.26,723078
2023-12-18,2023-12-22,249.69,1270367
2023-12-11,2023-12-15,251.19,1946794
2023-12-04,2023-12-08,256.17,1518625
2023-11-27,2023-12-01,246.22,932295
2023-11-20,2023-11-24,244.34,732531
2023-11-13,2023-11-17,241.43,1045810
2023-11-06,2023-11-10,230.82,865372
2023-10-30,2023-11-03,236.83,992404
2023-10-23,2023-10-27,230.73,1635955
2023-10-16,2023-10-20,222.19,937683
2023-10-09,2023-10-13,229.79,1029279
2023-10-02,2023-10-06,237.86,944321
2023-09-25,2023-09-29,235.05,1836430
2023-09-18,2023-09-22,238.59,1345607
2023-09-11,2023-09-15,248.02,1208574
2023-09-04,2023-09-08,245.53,769168
2023-08-28,2023-09-01,246.36,787854
2023-08-21,2023-08-25,240.53,805346
2023-08-14,2023-08-18,239.24,687841
2023-08-07,2023-08-11,242.57,677932
2023-07-31,2023-08-04,241.92,934237
2023-07-24,2023-07-28,249.59,961364
2023-07-17,2023-07-21,251.81,1467379
2023-07-10,2023-07-14,237.11,1681476
2023-07-03,2023-07-07,219.18,1230585
2023-06-26,2023-06-30,210.95,1288982
2023-06-19,2023-06-23,211.69,1385083
2023-06-12,2023-06-16,222.42,1936064
2023-06-05,2023-06-09,222.42,986084
2023-05-29,2023-06-02,218.53,2276022
2023-05-22,2023-05-26,218.44,1507313
2023-05-15,2023-05-19,224.91,956343
2023-05-08,2023-05-12,231.75,1328298
2023-05-01,2023-05-05,233.14,1615460
2023-04-24,2023-04-28,234.99,2059290
2023-04-17,2023-04-21,248.3,1118201
2023-04-10,2023-04-14,245.53,1494564
2023-04-03,2023-04-07,239.89,1161974
2023-03-27,2023-03-31,234.06,1700588
2023-03-20,2023-03-24,224.1,2615365
2023-03-13,2023-03-17,213.1,1806158
2023-03-06,2023-03-10,222.46,1270211
2023-02-27,2023-03-03,225.65,1561273
2023-02-20,2023-02-24,228.55,1494148
2023-02-13,2023-02-17,232.65,1645717
2023-02-06,2023-02-10,231.74,2508871
2023-01-30,2023-02-03,225.46,3593056
2023-01-23,2023-01-27,242.46,1732775
2023-01-16,2023-01-20,256.01,1474146
2023-01-09,2023-01-13,248.65,2956633
2023-01-02,2023-01-06,262.1,715211
