Date,Close_Date,Adjusted_Close_Price,Volume
2025-10-20,2025-10-24,10.95,56578
2025-10-13,2025-10-17,11.2,23513
2025-10-06,2025-10-10,11.0,29583
2025-09-29,2025-10-03,11.4,7775
2025-09-22,2025-09-26,11.8,12566
2025-09-15,2025-09-19,10.4,4398
2025-09-08,2025-09-12,10.4,23562
2025-09-01,2025-09-05,10.15,9849
2025-08-25,2025-08-29,11.2,15314
2025-08-18,2025-08-22,12.2,1481
2025-08-11,2025-08-15,12.0,4758
2025-08-04,2025-08-08,12.05,7695
2025-07-28,2025-08-01,11.25,3549
2025-07-21,2025-07-25,12.1,20107
2025-07-14,2025-07-18,13.25,24283
2025-07-07,2025-07-11,12.7,2156
2025-06-30,2025-07-04,12.9,12591
2025-06-23,2025-06-27,12.8,15578
2025-06-16,2025-06-20,11.6,8373
2025-06-09,2025-06-13,11.8,14247
2025-06-02,2025-06-06,11.35,18472
2025-05-26,2025-05-30,11.8,29344
2025-05-19,2025-05-23,12.25,8692
2025-05-12,2025-05-16,11.95,10174
2025-05-05,2025-05-09,12.3,25435
2025-04-28,2025-05-02,13.25,17827
2025-04-21,2025-04-25,12.4,106761
2025-04-14,2025-04-18,10.65,9089
2025-04-07,2025-04-11,9.6,15497
2025-03-31,2025-04-04,9.6,28249
2025-03-24,2025-03-28,9.0,14047
2025-03-17,2025-03-21,9.8,543
2025-03-10,2025-03-14,10.1,9403
2025-03-03,2025-03-07,10.8,37739
2025-02-24,2025-02-28,10.2,189997
2025-02-17,2025-02-21,10.7,23887
2025-02-10,2025-02-14,10.7,69838
2025-02-03,2025-02-07,11.0,11113
2025-01-27,2025-01-31,10.0,5291
2025-01-20,2025-01-24,9.48,4518
2025-01-13,2025-01-17,9.5,6750
2025-01-06,2025-01-10,9.5,1974
2024-12-30,2025-01-03,9.66,5983
2024-12-23,2024-12-27,11.0,6169
2024-12-16,2024-12-20,9.18,17775
2024-12-09,2024-12-13,10.5,8996
2024-12-02,2024-12-06,10.95,23038
2024-11-25,2024-11-29,8.8,3392
2024-11-18,2024-11-22,8.3,7717
2024-11-11,2024-11-15,9.0,19221
2024-11-04,2024-11-08,10.6,12409
2024-10-28,2024-11-01,9.68,13481
2024-10-21,2024-10-25,11.0,16246
2024-10-14,2024-10-18,9.5,45180
2024-10-07,2024-10-11,9.4,8299
2024-09-30,2024-10-04,8.88,4121
2024-09-23,2024-09-27,8.9,7897
2024-09-16,2024-09-20,8.24,14415
2024-09-09,2024-09-13,8.56,4341
2024-09-02,2024-09-06,8.58,2736
2024-08-26,2024-08-30,8.94,3133
2024-08-19,2024-08-23,8.88,3304
2024-08-12,2024-08-16,8.6,3505
2024-08-05,2024-08-09,9.0,25291
2024-07-29,2024-08-02,9.0,13223
2024-07-22,2024-07-26,9.06,10110
2024-07-15,2024-07-19,9.5,16693
2024-07-08,2024-07-12,9.0,11408
2024-07-01,2024-07-05,8.7,7670
2024-06-24,2024-06-28,8.52,30917
2024-06-17,2024-06-21,8.44,3615
2024-06-10,2024-06-14,8.58,13141
2024-06-03,2024-06-07,9.0,10138
2024-05-27,2024-05-31,9.88,11950
2024-05-20,2024-05-24,9.32,11811
2024-05-13,2024-05-17,9.78,15047
2024-05-06,2024-05-10,9.94,12389
2024-04-29,2024-05-03,9.84,7523
2024-04-22,2024-04-26,9.9,5539
2024-04-15,2024-04-19,10.5,10026
2024-04-08,2024-04-12,10.9,27451
2024-04-01,2024-04-05,10.55,23433
2024-03-25,2024-03-29,10.6,24262
2024-03-18,2024-03-22,8.22,7401
2024-03-11,2024-03-15,8.2,210168
2024-03-04,2024-03-08,8.02,33271
2024-02-26,2024-03-01,7.7,13259
2024-02-19,2024-02-23,8.5,33483
2024-02-12,2024-02-16,8.5,18028
2024-02-05,2024-02-09,7.8,23556
2024-01-29,2024-02-02,7.56,4717
2024-01-22,2024-01-26,10.75,12927
2024-01-15,2024-01-19,11.6,11142
2024-01-08,2024-01-12,14.0,15394
2024-01-01,2024-01-05,13.95,19156
2023-12-25,2023-12-29,13.25,32698
2023-12-18,2023-12-22,12.2,136041
2023-12-11,2023-12-15,13.55,29815
2023-12-04,2023-12-08,12.0,7256
2023-11-27,2023-12-01,13.35,1741
2023-11-20,2023-11-24,13.8,6367
2023-11-13,2023-11-17,14.1,11669
2023-11-06,2023-11-10,19.0,10497
2023-10-30,2023-11-03,17.95,2224
2023-10-23,2023-10-27,16.9,7829
2023-10-16,2023-10-20,16.4,9092
2023-10-09,2023-10-13,16.95,2009
2023-10-02,2023-10-06,16.6,3607
2023-09-25,2023-09-29,18.5,2223
2023-09-18,2023-09-22,18.6,1605
2023-09-11,2023-09-15,19.05,6057
2023-09-04,2023-09-08,16.55,5888
2023-08-28,2023-09-01,18.0,3249
2023-08-21,2023-08-25,16.9,2528
2023-08-14,2023-08-18,17.8,1974
2023-08-07,2023-08-11,21.5,26728
2023-07-31,2023-08-04,20.2,6706
2023-07-24,2023-07-28,18.15,3116
2023-07-17,2023-07-21,18.05,7702
2023-07-10,2023-07-14,18.5,3611
2023-07-03,2023-07-07,19.15,9287
2023-06-26,2023-06-30,18.0,7105
2023-06-19,2023-06-23,18.1,5298
2023-06-12,2023-06-16,19.3,6685
2023-06-05,2023-06-09,19.95,4470
2023-05-29,2023-06-02,18.5,4374
2023-05-22,2023-05-26,17.85,6563
2023-05-15,2023-05-19,18.6,5230
