Date,Close_Date,Adjusted_Close_Price,Volume
2018-07-02,2018-07-06,114.26,1513489
2018-07-09,2018-07-13,116.05,1007764
2018-07-16,2018-07-20,114.6,915947
2018-07-23,2018-07-27,116.05,706334
2018-07-30,2018-08-03,118.6,825448
2018-08-06,2018-08-10,118.09,653339
2018-08-13,2018-08-17,118.17,946634
2018-08-20,2018-08-24,120.98,2238809
2018-08-27,2018-08-31,121.23,1638630
2018-09-03,2018-09-07,118.51,1697224
2018-09-10,2018-09-14,118.43,2217536
2018-09-17,2018-09-21,119.28,1956429
2018-09-24,2018-09-28,114.94,1397746
2018-10-01,2018-10-05,114.6,1534390
2018-10-08,2018-10-12,111.29,2156096
2018-10-15,2018-10-19,113.24,1510588
2018-10-22,2018-10-26,111.03,1150986
2018-10-29,2018-11-02,114.86,1184984
2018-11-05,2018-11-09,119.96,1596866
2018-11-12,2018-11-16,117.83,1638321
2018-11-19,2018-11-23,110.61,2068663
2018-11-26,2018-11-30,116.81,1325890
2018-12-03,2018-12-07,116.22,1578717
2018-12-10,2018-12-14,118.0,915731
2018-12-17,2018-12-21,115.03,1620883
2018-12-24,2018-12-28,116.39,479326
2018-12-31,2019-01-04,118.68,492002
2019-01-07,2019-01-11,122.51,1159690
2019-01-14,2019-01-18,124.46,1546005
2019-01-21,2019-01-25,125.48,1155123
2019-01-28,2019-02-01,128.12,1030860
2019-02-04,2019-02-08,127.1,1310203
2019-02-11,2019-02-15,129.31,1455021
2019-02-18,2019-02-22,130.07,956176
2019-02-25,2019-03-01,124.72,1033656
2019-03-04,2019-03-08,127.52,905165
2019-03-11,2019-03-15,136.54,1365876
2019-03-18,2019-03-22,133.13,1063700
2019-03-25,2019-03-29,140.37,1239889
2019-04-01,2019-04-05,140.19,1350199
2019-04-08,2019-04-12,140.28,1383526
2019-04-15,2019-04-19,138.98,527004
2019-04-22,2019-04-26,138.02,843225
2019-04-29,2019-05-03,138.28,555037
2019-05-06,2019-05-10,135.67,1526594
2019-05-13,2019-05-17,138.89,1931817
2019-05-20,2019-05-24,137.5,924737
2019-05-27,2019-05-31,135.15,2290244
2019-06-03,2019-06-07,142.89,2373787
2019-06-10,2019-06-14,148.81,1130059
2019-06-17,2019-06-21,143.5,1191503
2019-06-24,2019-06-28,137.41,1293364
2019-07-01,2019-07-05,145.76,1185984
2019-07-08,2019-07-12,148.72,695670
2019-07-15,2019-07-19,147.07,552361
2019-07-22,2019-07-26,147.07,875555
2019-07-29,2019-08-02,151.07,884003
2019-08-05,2019-08-09,150.38,759116
2019-08-12,2019-08-16,154.21,1160136
2019-08-19,2019-08-23,150.72,1625187
2019-08-26,2019-08-30,158.12,2093015
2019-09-02,2019-09-06,151.86,1078523
2019-09-09,2019-09-13,148.03,1809088
2019-09-16,2019-09-20,149.94,1441448
2019-09-23,2019-09-27,154.03,1213351
2019-09-30,2019-10-04,145.94,1420250
2019-10-07,2019-10-11,148.72,1729762
2019-10-14,2019-10-18,148.81,1495173
2019-10-21,2019-10-25,141.76,1771900
2019-10-28,2019-11-01,143.15,755408
2019-11-04,2019-11-08,145.33,1555233
2019-11-11,2019-11-15,146.29,1194008
2019-11-18,2019-11-22,148.72,1065770
2019-11-25,2019-11-29,151.77,1311313
2019-12-02,2019-12-06,153.16,1410493
2019-12-09,2019-12-13,152.12,2129657
2019-12-16,2019-12-20,160.73,2063724
2019-12-23,2019-12-27,163.34,360434
2019-12-30,2020-01-03,165.52,527450
2020-01-06,2020-01-10,165.87,1567905
2020-01-13,2020-01-17,167.69,1165748
2020-01-20,2020-01-24,167.52,1262785
2020-01-27,2020-01-31,166.04,1499654
2020-02-03,2020-02-07,165.52,727146
2020-02-10,2020-02-14,177.01,1331288
2020-02-17,2020-02-21,169.7,1315316
2020-02-24,2020-02-28,149.94,2282860
2020-03-02,2020-03-06,157.95,3047706
2020-03-09,2020-03-13,123.49,3755724
2020-03-16,2020-03-20,100.95,9362627
2020-03-23,2020-03-27,119.18,6059236
2020-03-30,2020-04-03,112.43,2770102
2020-04-06,2020-04-10,123.24,1976782
2020-04-13,2020-04-17,114.86,2398152
2020-04-20,2020-04-24,111.35,2210093
2020-04-27,2020-05-01,112.88,2787422
2020-05-04,2020-05-08,113.6,2975265
2020-05-11,2020-05-15,100.37,3352498
2020-05-18,2020-05-22,102.17,1482539
2020-05-25,2020-05-29,108.92,2346000
2020-06-01,2020-06-05,117.02,2661214
2020-06-08,2020-06-12,106.76,2904326
2020-06-15,2020-06-19,116.3,3371129
2020-06-22,2020-06-26,104.78,2809499
2020-06-29,2020-07-03,105.77,1690984
2020-07-06,2020-07-10,102.44,1991875
2020-07-13,2020-07-17,100.1,2434407
2020-07-20,2020-07-24,98.12,2352350
2020-07-27,2020-07-31,102.44,2704804
2020-08-03,2020-08-07,103.07,2220976
2020-08-10,2020-08-14,103.25,2527562
2020-08-17,2020-08-21,104.6,2925194
2020-08-24,2020-08-28,97.67,6224360
2020-08-31,2020-09-04,101.36,4841114
2020-09-07,2020-09-11,112.25,5504162
2020-09-14,2020-09-18,119.36,10420899
2020-09-21,2020-09-25,111.53,4971570
2020-09-28,2020-10-02,113.24,2708685
2020-10-05,2020-10-09,114.23,2912091
2020-10-12,2020-10-16,112.52,2890630
2020-10-19,2020-10-23,112.52,3443985
2020-10-26,2020-10-30,104.69,2941387
2020-11-02,2020-11-06,108.11,3047526
2020-11-09,2020-11-13,119.9,6720371
2020-11-16,2020-11-20,123.15,2897379
2020-11-23,2020-11-27,122.79,2250472
2020-11-30,2020-12-04,119.81,3196350
2020-12-07,2020-12-11,122.07,2212070
2020-12-14,2020-12-18,118.37,1799997
2020-12-21,2020-12-25,120.63,946442
2020-12-28,2021-01-01,122.61,922284
2021-01-04,2021-01-08,120.09,1503193
2021-01-11,2021-01-15,119.9,1811416
2021-01-18,2021-01-22,118.1,1987266
2021-01-25,2021-01-29,115.22,3055178
2021-02-01,2021-02-05,114.77,2404390
2021-02-08,2021-02-12,112.79,2128414
2021-02-15,2021-02-19,106.04,3567735
2021-02-22,2021-02-26,108.11,3744060
2021-03-01,2021-03-05,109.19,3696594
2021-03-08,2021-03-12,112.52,3387748
2021-03-15,2021-03-19,114.05,3636760
2021-03-22,2021-03-26,113.42,3786243
2021-03-29,2021-04-02,119.06,1980511
2021-04-05,2021-04-09,122.64,1815709
2021-04-12,2021-04-16,125.21,2873186
2021-04-19,2021-04-23,126.58,2105865
2021-04-26,2021-04-30,123.83,1279279
2021-05-03,2021-05-07,125.76,2410058
2021-05-10,2021-05-14,126.26,1473247
2021-05-17,2021-05-21,127.09,1415401
2021-05-24,2021-05-28,128.69,1619874
2021-05-31,2021-06-04,134.43,1185671
2021-06-07,2021-06-11,138.06,1866658
2021-06-14,2021-06-18,131.31,2807370
2021-06-21,2021-06-25,133.1,1290073
2021-06-28,2021-07-02,136.86,2223978
2021-07-05,2021-07-09,143.66,1285375
2021-07-12,2021-07-16,144.44,1323598
2021-07-19,2021-07-23,144.57,1163994
2021-07-26,2021-07-30,144.48,929058
2021-08-02,2021-08-06,146.27,1024898
2021-08-09,2021-08-13,143.84,1786822
2021-08-16,2021-08-20,144.21,1338547
2021-08-23,2021-08-27,142.78,2223676
2021-08-30,2021-09-03,138.52,1540890
2021-09-06,2021-09-10,130.9,1876867
2021-09-13,2021-09-17,125.3,2444933
2021-09-20,2021-09-24,123.74,1802327
2021-09-27,2021-10-01,123.23,2669115
2021-10-04,2021-10-08,121.9,2202508
2021-10-11,2021-10-15,126.81,1571780
2021-10-18,2021-10-22,128.51,1337288
2021-10-25,2021-10-29,125.94,1698278
2021-11-01,2021-11-05,129.47,1627141
2021-11-08,2021-11-12,127.23,2484526
2021-11-15,2021-11-19,134.71,2834843
2021-11-22,2021-11-26,124.7,2804016
2021-11-29,2021-12-03,123.78,2039067
2021-12-06,2021-12-10,121.21,2555738
2021-12-13,2021-12-17,120.07,2527336
2021-12-20,2021-12-24,121.12,1549209
2021-12-27,2021-12-31,124.1,820316
2022-01-03,2022-01-07,121.08,1212408
2022-01-10,2022-01-14,121.17,2186751
2022-01-17,2022-01-21,121.67,2654242
2022-01-24,2022-01-28,120.34,1917702
2022-01-31,2022-02-04,117.63,1805140
2022-02-07,2022-02-11,123.05,2304516
2022-02-14,2022-02-18,117.04,3100827
2022-02-21,2022-02-25,114.37,3505347
2022-02-28,2022-03-04,111.25,2142060
2022-03-07,2022-03-11,117.86,2224748
2022-03-14,2022-03-18,122.13,1857810
2022-03-21,2022-03-25,114.93,4407286
2022-03-28,2022-04-01,124.55,2605998
2022-04-04,2022-04-08,125.39,1799761
2022-04-11,2022-04-15,122.96,1110315
2022-04-18,2022-04-22,121.55,1217182
2022-04-25,2022-04-29,119.86,1832224
2022-05-02,2022-05-06,111.34,3479705
2022-05-09,2022-05-13,114.05,2823125
2022-05-16,2022-05-20,122.86,2150326
2022-05-23,2022-05-27,128.49,1383186
2022-05-30,2022-06-03,120.05,2127786
2022-06-06,2022-06-10,114.8,1250511
2022-06-13,2022-06-17,107.87,2504720
2022-06-20,2022-06-24,107.4,1341769
2022-06-27,2022-07-01,108.62,1628272
2022-07-04,2022-07-08,110.31,1110364
2022-07-11,2022-07-15,118.27,978531
2022-07-18,2022-07-22,128.86,1102990
2022-07-25,2022-07-29,131.11,778943
2022-08-01,2022-08-05,123.71,1091501
2022-08-08,2022-08-12,133.83,1503005
2022-08-15,2022-08-19,124.18,1273590
2022-08-22,2022-08-26,116.58,1226820
2022-08-29,2022-09-02,118.18,1401052
2022-09-05,2022-09-09,120.9,902905
2022-09-12,2022-09-16,118.08,1642312
2022-09-19,2022-09-23,111.06,1505699
2022-09-26,2022-09-30,114.62,1681156
2022-10-03,2022-10-07,112.65,1480759
2022-10-10,2022-10-14,117.24,1615044
2022-10-17,2022-10-21,116.77,1539761
2022-10-24,2022-10-28,121.83,1137567
2022-10-31,2022-11-04,121.93,1323731
2022-11-07,2022-11-11,131.95,1599480
2022-11-14,2022-11-18,134.48,1440250
2022-11-21,2022-11-25,137.95,1080307
2022-11-28,2022-12-02,140.58,2014754
2022-12-05,2022-12-09,140.58,1081454
2022-12-12,2022-12-16,137.76,2039670
2022-12-19,2022-12-23,140.3,1253360
2022-12-26,2022-12-30,138.98,792147
2023-01-02,2023-01-06,141.61,689995
2023-01-09,2023-01-13,148.54,1210798
2023-01-16,2023-01-20,147.14,923418
2023-01-23,2023-01-27,151.63,616717
2023-01-30,2023-02-03,153.6,907508
2023-02-06,2023-02-10,144.61,684241
2023-02-13,2023-02-17,141.79,831514
2023-02-20,2023-02-24,140.3,648131
2023-02-27,2023-03-03,140.39,877929
2023-03-06,2023-03-10,130.36,882488
2023-03-13,2023-03-17,131.58,1341538
2023-03-20,2023-03-24,127.55,1077743
2023-03-27,2023-03-31,134.43,1098530
2023-04-03,2023-04-07,133.47,594921
2023-04-10,2023-04-14,140.06,792517
2023-04-17,2023-04-21,138.82,740786
2023-04-24,2023-04-28,139.58,761356
2023-05-01,2023-05-05,136.24,756131
2023-05-08,2023-05-12,125.64,1484259
2023-05-15,2023-05-19,125.25,781201
2023-05-22,2023-05-26,122.29,1010325
2023-05-29,2023-06-02,129.84,936432
2023-06-05,2023-06-09,131.56,437563
2023-06-12,2023-06-16,123.06,946932
2023-06-19,2023-06-23,118.57,528027
2023-06-26,2023-06-30,122.39,891731
2023-07-03,2023-07-07,122.77,750672
2023-07-10,2023-07-14,121.91,640550
2023-07-17,2023-07-21,123.63,810810
2023-07-24,2023-07-28,122.96,677625
2023-07-31,2023-08-04,125.83,846046
2023-08-07,2023-08-11,123.92,845322
2023-08-14,2023-08-18,118.18,413638
2023-08-21,2023-08-25,114.94,596183
2023-08-28,2023-09-01,120.0,1415637
2023-09-04,2023-09-08,120.09,574810
2023-09-11,2023-09-15,120.86,801937
2023-09-18,2023-09-22,117.42,986076
2023-09-25,2023-09-29,115.6,764089
2023-10-02,2023-10-06,114.17,821606
2023-10-09,2023-10-13,113.98,741983
2023-10-16,2023-10-20,110.25,951620
2023-10-23,2023-10-27,109.2,764309
2023-10-30,2023-11-03,120.57,1022486
2023-11-06,2023-11-10,118.85,893398
2023-11-13,2023-11-17,124.58,1056036
2023-11-20,2023-11-24,126.4,791125
2023-11-27,2023-12-01,125.92,1240897
2023-12-04,2023-12-08,128.41,827708
2023-12-11,2023-12-15,132.8,1428779
2023-12-18,2023-12-22,135.57,691842
2023-12-25,2023-12-29,135.76,345924
2024-01-01,2024-01-05,130.7,361914
2024-01-08,2024-01-12,129.84,720506
2024-01-15,2024-01-19,123.82,427096
2024-01-22,2024-01-26,129.55,598614
2024-01-29,2024-02-02,125.25,816672
2024-02-05,2024-02-09,119.71,593182
2024-02-12,2024-02-16,122.58,825962
2024-02-19,2024-02-23,119.43,517152
2024-02-26,2024-03-01,118.95,825235
2024-03-04,2024-03-08,121.43,979710
2024-03-11,2024-03-15,120.09,1298906
2024-03-18,2024-03-22,120.19,1098970
2024-03-25,2024-03-29,126.86,894946
2024-04-01,2024-04-05,121.98,1412379
2024-04-08,2024-04-12,121.01,1689271
2024-04-15,2024-04-19,123.74,1786039
2024-04-22,2024-04-26,124.62,833787
2024-04-29,2024-05-03,127.94,729476
2024-05-06,2024-05-10,125.11,901334
2024-05-13,2024-05-17,126.18,721622
2024-05-20,2024-05-24,124.72,1046882
2024-05-27,2024-05-31,127.25,1515931
2024-06-03,2024-06-07,123.54,834588
2024-06-10,2024-06-14,121.2,884829
2024-06-17,2024-06-21,121.89,853944
2024-06-24,2024-06-28,122.47,616699
2024-07-01,2024-07-05,125.89,431343
2024-07-08,2024-07-12,130.38,647916
2024-07-15,2024-07-19,127.35,435442
2024-07-22,2024-07-26,126.28,318087
2024-07-29,2024-08-02,128.81,786627
2024-08-05,2024-08-09,125.69,692958
2024-08-12,2024-08-16,126.57,387085
2024-08-19,2024-08-23,133.89,1126678
2024-08-26,2024-08-30,133.89,1063086
2024-09-02,2024-09-06,132.52,990471
2024-09-09,2024-09-13,134.57,487008
2024-09-16,2024-09-20,131.55,1114586
2024-09-23,2024-09-27,135.94,849194
2024-09-30,2024-10-04,135.35,783440
2024-10-07,2024-10-11,133.89,621511
2024-10-14,2024-10-18,128.42,572801
2024-10-21,2024-10-25,125.01,987392
2024-10-28,2024-11-01,121.89,1019111
2024-11-04,2024-11-08,125.98,1291616
2024-11-11,2024-11-15,122.47,1033117
2024-11-18,2024-11-22,120.32,1142053
2024-11-25,2024-11-29,122.67,1256764
2024-12-02,2024-12-06,121.98,907282
2024-12-09,2024-12-13,118.66,957423
2024-12-16,2024-12-20,117.79,1252874
2024-12-23,2024-12-27,118.08,213959
2024-12-30,2025-01-03,118.47,527147
2025-01-06,2025-01-10,114.27,1015356
2025-01-13,2025-01-17,117.4,817399
2025-01-20,2025-01-24,116.71,756428
2025-01-27,2025-01-31,120.42,991203
2025-02-03,2025-02-07,120.03,1208836
2025-02-10,2025-02-14,122.47,1151319
2025-02-17,2025-02-21,117.88,1140714
2025-02-24,2025-02-28,118.86,856713
2025-03-03,2025-03-07,113.4,2030562
2025-03-10,2025-03-14,112.81,1591017
2025-03-17,2025-03-21,110.66,1117870
2025-03-24,2025-03-28,113.7,980840
2025-03-31,2025-04-04,113.9,1787750
2025-04-07,2025-04-11,111.0,2987212
2025-04-14,2025-04-18,114.9,616995
2025-04-21,2025-04-25,115.8,719305
2025-04-28,2025-05-02,118.7,1174597
2025-05-05,2025-05-09,117.0,1942644
2025-05-12,2025-05-16,117.2,965563
2025-05-19,2025-05-23,115.0,832022
2025-05-26,2025-05-30,122.1,1749610
2025-06-02,2025-06-06,121.5,1072858
2025-06-09,2025-06-13,119.3,1118337
2025-06-16,2025-06-20,123.7,1145688
2025-06-23,2025-06-27,124.6,796023
2025-06-30,2025-07-04,124.0,754477
2025-07-07,2025-07-11,119.7,741164
2025-07-14,2025-07-18,120.5,685425
2025-07-21,2025-07-25,121.7,387939
2025-07-28,2025-08-01,118.1,612321
2025-08-04,2025-08-08,119.5,414150
2025-08-11,2025-08-15,120.0,650422
2025-08-18,2025-08-22,125.1,1740786
2025-08-25,2025-08-29,123.3,2542110
2025-09-01,2025-09-05,124.0,2132495
2025-09-08,2025-09-12,128.7,1509721
2025-09-15,2025-09-19,127.6,3162413
2025-09-22,2025-09-26,126.6,2147839
2025-09-29,2025-10-03,124.0,1193531
2025-10-06,2025-10-10,124.1,882659
2025-10-13,2025-10-17,128.3,705515
2025-10-20,2025-10-24,130.4,792703
