Date,Close_Date,Adjusted_Close_Price,Volume
2025-10-20,2025-10-24,5.46,52015042
2025-10-13,2025-10-17,5.54,57191551
2025-10-06,2025-10-10,5.02,45377525
2025-09-29,2025-10-03,5.1,49801192
2025-09-22,2025-09-26,5.02,50529873
2025-09-15,2025-09-19,5.2,52705766
2025-09-08,2025-09-12,4.98,46225884
2025-09-01,2025-09-05,4.74,33483392
2025-08-25,2025-08-29,4.78,70275409
2025-08-18,2025-08-22,5.48,92107161
2025-08-11,2025-08-15,4.8,23792895
2025-08-04,2025-08-08,5.11,29153911
2025-07-28,2025-08-01,5.0,43863224
2025-07-21,2025-07-25,5.19,42514138
2025-07-14,2025-07-18,5.23,49080278
2025-07-07,2025-07-11,5.34,84905107
2025-06-30,2025-07-04,5.58,69783837
2025-06-23,2025-06-27,5.71,79689898
2025-06-16,2025-06-20,6.32,60264655
2025-06-09,2025-06-13,6.01,90444250
2025-06-02,2025-06-06,6.09,95345063
2025-05-26,2025-05-30,5.63,116194728
2025-05-19,2025-05-23,5.43,104121991
2025-05-12,2025-05-16,5.41,370455796
2025-05-05,2025-05-09,3.85,75004195
2025-04-28,2025-05-02,3.99,55974783
2025-04-21,2025-04-25,3.91,91146228
2025-04-14,2025-04-18,3.66,68774296
2025-04-07,2025-04-11,3.63,178403589
2025-03-31,2025-04-04,3.37,114419312
2025-03-24,2025-03-28,3.47,77906205
2025-03-17,2025-03-21,3.51,83518890
2025-03-10,2025-03-14,3.66,96842710
2025-03-03,2025-03-07,3.64,122489347
2025-02-24,2025-02-28,4.1,104001123
2025-02-17,2025-02-21,4.22,165804723
2025-02-10,2025-02-14,5.36,75198096
2025-02-03,2025-02-07,5.34,107356934
2025-01-27,2025-01-31,5.63,136771897
2025-01-20,2025-01-24,5.29,119664349
2025-01-13,2025-01-17,5.39,219785153
2025-01-06,2025-01-10,4.7,166754509
2024-12-30,2025-01-03,4.76,87673275
2024-12-23,2024-12-27,4.48,85234336
2024-12-16,2024-12-20,4.1,227705408
2024-12-09,2024-12-13,3.63,181488025
2024-12-02,2024-12-06,3.47,125644468
2024-11-25,2024-11-29,3.86,161854963
2024-11-18,2024-11-22,4.0,94665243
2024-11-11,2024-11-15,4.08,98632399
2024-11-04,2024-11-08,4.42,299001597
2024-10-28,2024-11-01,5.72,69455609
2024-10-21,2024-10-25,5.86,75206800
2024-10-14,2024-10-18,6.21,119823484
2024-10-07,2024-10-11,7.22,117427499
2024-09-30,2024-10-04,7.51,116021032
2024-09-23,2024-09-27,7.44,242762142
2024-09-16,2024-09-20,7.89,222333060
2024-09-09,2024-09-13,7.1,138091953
2024-09-02,2024-09-06,6.46,151715543
2024-08-26,2024-08-30,6.93,211302057
2024-08-19,2024-08-23,6.44,109175444
2024-08-12,2024-08-16,6.1,83676186
2024-08-05,2024-08-09,6.4,117660742
2024-07-29,2024-08-02,6.2,177477235
2024-07-22,2024-07-26,6.54,93746622
2024-07-15,2024-07-19,6.2,118681114
2024-07-08,2024-07-12,6.68,156361566
2024-07-01,2024-07-05,6.06,187204446
2024-06-24,2024-06-28,4.24,139295982
2024-06-17,2024-06-21,4.73,94923363
2024-06-10,2024-06-14,4.4,87659418
2024-06-03,2024-06-07,4.47,108314430
2024-05-27,2024-05-31,4.03,214960359
2024-05-20,2024-05-24,3.61,138581880
