Date,Weekday,Close
2018-07-06,Friday,1123.59
2018-07-13,Friday,1145.97
2018-07-20,Friday,1163.37
2018-07-27,Friday,1184.78
2018-08-03,Friday,1183.48
2018-08-10,Friday,1189.67
2018-08-17,Friday,1189.65
2018-08-24,Friday,1207.24
2018-08-31,Friday,1216.99
2018-09-07,Friday,1187.1
2018-09-14,Friday,1204.41
2018-09-21,Friday,1218.86
2018-09-28,Friday,1218.1
2018-10-05,Friday,1198.23
2018-10-12,Friday,1128.44
2018-10-19,Friday,1125.7
2018-10-26,Friday,1087.27
2018-11-02,Friday,1143.7
2018-11-09,Friday,1128.67
2018-11-16,Friday,1104.92
2018-11-23,Friday,1084.53
2018-11-30,Friday,1113.39
2018-12-07,Friday,1072.09
2018-12-14,Friday,1086.16
2018-12-21,Friday,1043.16
2018-12-28,Friday,1046.27
2019-01-04,Friday,1065.12
2019-01-11,Friday,1092.37
2019-01-18,Friday,1118.2
2019-01-25,Friday,1115.26
2019-02-01,Friday,1132.3
2019-02-08,Friday,1133.4
2019-02-15,Friday,1171.12
2019-02-22,Friday,1182.39
2019-03-01,Friday,1175.64
2019-03-08,Friday,1160.05
2019-03-15,Friday,1188.66
2019-03-22,Friday,1175.36
2019-03-29,Friday,1184.01
2019-04-05,Friday,1231.54
2019-04-12,Friday,1244.01
2019-04-19,Friday,1259.92
2019-04-26,Friday,1276.13
2019-05-03,Friday,1267.57
2019-05-10,Friday,1231.51
2019-05-17,Friday,1243.35
2019-05-24,Friday,1220.3
2019-05-31,Friday,1182.19
2019-06-07,Friday,1207.7
2019-06-14,Friday,1245.26
2019-06-21,Friday,1268.97
2019-06-28,Friday,1262.49
2019-07-05,Friday,1276.76
2019-07-12,Friday,1276.96
2019-07-19,Friday,1266.86
2019-07-26,Friday,1271.45
2019-08-02,Friday,1246.75
2019-08-09,Friday,1218.76
2019-08-16,Friday,1205.75
2019-08-23,Friday,1213.85
2019-08-30,Friday,1250.72
2019-09-06,Friday,1262.64
2019-09-13,Friday,1295.63
2019-09-20,Friday,1298.46
2019-09-27,Friday,1284.1
2019-10-04,Friday,1248.95
2019-10-11,Friday,1287.75
2019-10-18,Friday,1313.85
2019-10-25,Friday,1345.21
2019-11-01,Friday,1342.21
2019-11-08,Friday,1369.6
2019-11-15,Friday,1369.61
2019-11-22,Friday,1353.46
2019-11-29,Friday,1364.78
2019-12-06,Friday,1378.16
2019-12-13,Friday,1392.9
2019-12-20,Friday,1421.66
2019-12-27,Friday,1428.84
2020-01-03,Friday,1423.56
2020-01-10,Friday,1429.82
2020-01-17,Friday,1458.93
2020-01-24,Friday,1449.9
2020-01-31,Friday,1426.5
2020-02-07,Friday,1466.59
2020-02-14,Friday,1505.9
2020-02-21,Friday,1509.08
2020-02-28,Friday,1332.56
2020-03-06,Friday,1308.75
2020-03-13,Friday,1083.5
2020-03-20,Friday,1049.18
2020-03-27,Friday,1101.41
2020-04-03,Friday,1106.83
2020-04-10,Friday,1196.21
2020-04-17,Friday,1211.88
2020-04-24,Friday,1207.54
2020-05-01,Friday,1253.81
2020-05-08,Friday,1256.79
2020-05-15,Friday,1206.02
2020-05-22,Friday,1264.32
2020-05-29,Friday,1322.73
2020-06-05,Friday,1403.81
2020-06-12,Friday,1305.85
2020-06-19,Friday,1361.77
2020-06-26,Friday,1349.29
2020-07-03,Friday,1384.17
2020-07-10,Friday,1398.07
2020-07-17,Friday,1444.03
2020-07-24,Friday,1433.6
2020-07-31,Friday,1409.27
2020-08-07,Friday,1448.62
2020-08-14,Friday,1453.03
2020-08-21,Friday,1451.93
2020-08-28,Friday,1466.44
2020-09-04,Friday,1449.17
2020-09-11,Friday,1490.85
2020-09-18,Friday,1527.77
2020-09-25,Friday,1490.97
2020-10-02,Friday,1523.77
2020-10-09,Friday,1550.56
2020-10-16,Friday,1543.68
2020-10-23,Friday,1522.4
2020-10-30,Friday,1437.07
2020-11-06,Friday,1532.82
2020-11-13,Friday,1573.87
2020-11-20,Friday,1595.62
2020-11-27,Friday,1606.21
2020-12-04,Friday,1598.32
2020-12-11,Friday,1595.58
2020-12-18,Friday,1608.91
2020-12-25,Friday,1604.34
2021-01-01,Friday,1621.5
2021-01-08,Friday,1672.49
2021-01-15,Friday,1667.01
2021-01-22,Friday,1694.23
